Assembly Accession	Assembly Name	Organism Name	Organism Taxonomic ID	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Annotation Name	Assembly Stats Total Sequence Length	Assembly Level	Assembly Release Date	WGS project accession	Assembly Stats Contig N50	Assembly Stats Scaffold N50	Assembly Stats Number of Scaffolds	Assembly Sequencing Tech	CheckM completeness	CheckM contamination
GCA_000764325.1	2540-90v1.0	Vibrio navarrensis	29495		ATCC 51183					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4439391	Contig	2014-10-07	JMCG01	3244259			PacBio	99.25	0.98
GCF_000764325.1	2540-90v1.0	Vibrio navarrensis	29495		ATCC 51183					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4439391	Contig	2014-10-07	JMCG01	3244259			PacBio	99.25	0.98
GCA_900460255.1	34500_B01	Vibrio cincinnatiensis	675		NCTC12012					Annotation submitted by SC	3800816	Contig	2018-08-01	UHIE01	2772819				96.6	2.01
GCF_900460255.1	34500_B01	Vibrio cincinnatiensis	675		NCTC12012					GCF_900460255.1-RS_2024_04_27	3800816	Contig	2018-08-01	UHIE01	2772819				96.6	2.01
GCA_003263785.1	ASM326378v1	Vibrio variabilis	990271		CAIM 1454						5082486	Contig	2018-06-25	JYJK01	81551			IonTorrent	71.75	1.48
GCF_003263785.1	ASM326378v1	Vibrio variabilis	990271		CAIM 1454					GCF_003263785.1-RS_2024_03_28	5082486	Contig	2018-06-25	JYJK01	81551			IonTorrent	71.75	1.48
GCA_900460295.1	51108_A01	Vibrio metschnikovii	28172		NCTC8443					Annotation submitted by SC	3831334	Contig	2018-08-01	UHIH01	2829732				96.56	0.7
GCF_900460295.1	51108_A01	Vibrio metschnikovii	28172		NCTC8443					GCF_900460295.1-RS_2024_03_28	3831334	Contig	2018-08-01	UHIH01	2829732				96.56	0.7
GCA_000176235.1	ASM17623v1	Vibrio orientalis CIP 102891 = ATCC 33934	675816		CIP 102891					Annotation submitted by Los Alamos National Laboratory (LANL), National Microbial Pathogen Data Resource (NMPDR)	4698244	Contig	2009-10-09	ACZV01	2361996				100	1.5
GCF_000176235.1	ASM17623v1	Vibrio orientalis CIP 102891 = ATCC 33934	675816		CIP 102891					GCF_000176235.1-RS_2024_04_22	4698244	Contig	2009-10-09	ACZV01	2361996				100	1.5
GCA_000165125.2	Vcar_1.0	Vibrio caribbeanicus ATCC BAA-2122	796620		ATCC BAA-2122					Annotation submitted by FDA	4410536	Contig	2010-10-20	AEIU01	122512			454 Titanium	94.22	0.68
GCF_000165125.1	Vcar_1.0	Vibrio caribbeanicus ATCC BAA-2122	796620		ATCC BAA-2122					GCF_000165125.1-RS_2024_08_06	4410536	Contig	2010-10-20	AEIU01	122512			454 Titanium	94.22	0.68
GCA_001895205.1	ASM189520v1	Vibrio injensis	1307414		M12-1144						3670882	Scaffold	2016-11-25	BDJF01	445489	581069	33	Illumina HiSeq	96.15	0.68
GCF_001895205.1	ASM189520v1	Vibrio injensis	1307414		M12-1144					GCF_001895205.1-RS_2024_08_12	3670882	Scaffold	2016-11-25	BDJF01	445489	581069	33	Illumina HiSeq	96.15	0.68
GCA_001639065.2	ASM163906v2	Vibrio barjaei	1676683		3062					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5535129	Scaffold	2016-11-07	LQXO02	286196	286196	64	Illumina MiSeq	99.61	2.6
GCF_001639065.2	ASM163906v2	Vibrio barjaei	1676683		3062					GCF_001639065.2-RS_2024_03_28	5535129	Scaffold	2016-11-07	LQXO02	286196	286196	64	Illumina MiSeq	99.61	2.6
GCA_023653475.1	ASM2365347v1	Photobacterium galatheae	1654360		DSM 100496					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5470877	Contig	2022-06-06	JAGSGC01	284439			Illumina MiSeq	89.59	5.9
GCF_023653475.1	ASM2365347v1	Photobacterium galatheae	1654360		DSM 100496					GCF_023653475.1-RS_2024_06_09	5470877	Contig	2022-06-06	JAGSGC01	284439			Illumina MiSeq	89.59	5.9
GCA_014841115.1	ASM1484111v1	Photobacterium arenosum	2774143		CAU 1568					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4775170	Contig	2020-10-04	JACYTP01	253079			Illumina HiSeq	89.51	2.22
GCF_014841115.1	ASM1484111v1	Photobacterium arenosum	2774143		CAU 1568					GCF_014841115.1-RS_2024_03_13	4775170	Contig	2020-10-04	JACYTP01	253079			Illumina HiSeq	89.51	2.22
GCA_013074385.2	ASM1307438v2	Vibrio ostreicida	526588		PP-203					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4371716	Scaffold	2020-05-26	JABEYA02	213925	216287	33	Illumina NextSeq	97.18	0.8
GCF_013074385.2	ASM1307438v2	Vibrio ostreicida	526588		PP-203					GCF_013074385.2-RS_2024_07_26	4371716	Scaffold	2020-05-26	JABEYA02	213925	216287	33	Illumina NextSeq	97.18	0.8
GCA_002954725.1	ASM295472v1	Photobacterium phosphoreum	659		JCM 21184					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4550107	Scaffold	2018-02-27	MSCQ01	138548	2738378	5	Illumina MiSeq	97.29	1.02
GCF_002954725.1	ASM295472v1	Photobacterium phosphoreum	659		JCM 21184					GCF_002954725.1-RS_2024_03_29	4550107	Scaffold	2018-02-27	MSCQ01	138548	2738378	5	Illumina MiSeq	97.29	1.02
GCA_003568965.1	Vhalioticoli	Vibrio halioticoli	71388		IAM 14596						4092510	Scaffold	2018-08-23	BCUP01	230151	2597242	6	454 GS FLX	91.53	1.5
GCF_003568965.1	Vhalioticoli	Vibrio halioticoli	71388		IAM 14596					GCF_003568965.1-RS_2024_08_12	4092510	Scaffold	2018-08-23	BCUP01	230151	2597242	6	454 GS FLX	91.53	1.5
GCA_007990935.1	ASM799093v1	Vibrio sagamiensis NBRC 104589	1219064		NBRC 104589					Annotation submitted by National Institute of Technology and Evaluation	4476604	Contig	2019-08-01	BJXJ01	96784			Illumina HiSeq 1000	97.71	0.84
GCF_007990935.1	ASM799093v1	Vibrio sagamiensis NBRC 104589	1219064		NBRC 104589					GCF_007990935.1-RS_2024_08_26	4476604	Contig	2019-08-01	BJXJ01	96784			Illumina HiSeq 1000	97.71	0.84
GCA_921294215.1	V_marisflavi_CECT7928	Vibrio marisflavi CECT 7928	634439		CECT 7928			WH134		Annotation submitted by University of Valencia, Spain	4782088	Contig	2022-01-29	CAKLDM01	2906288				96.71	2.07
GCF_921294215.1	V_marisflavi_CECT7928	Vibrio marisflavi CECT 7928	634439		CECT 7928			WH134		GCF_921294215.1-RS_2024_07_08	4782088	Contig	2022-01-29	CAKLDM01	2906288				96.71	2.07
GCA_000621165.1	ASM62116v1	Enterovibrio calviensis DSM 14347	1121867		DSM 14347						5503346	Scaffold	2014-04-08	JHZA01	323395	461029	28	Illumina HiSeq 2000	98.89	1.34
GCF_000621165.1	ASM62116v1	Enterovibrio calviensis DSM 14347	1121867		DSM 14347					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5503346	Scaffold	2014-04-08	JHZA01	323395	461029	28	Illumina HiSeq 2000	98.89	1.34
GCA_000425165.1	ASM42516v1	Photobacterium halotolerans DSM 18316	1122959		DSM 18316						4690166	Scaffold	2013-07-11	AULG01	218614	264367	53	Illumina HiSeq 2000	90.21	3.81
GCF_000425165.1	ASM42516v1	Photobacterium halotolerans DSM 18316	1122959		DSM 18316					GCF_000425165.1-RS_2024_03_29	4690166	Scaffold	2013-07-11	AULG01	218614	264367	53	Illumina HiSeq 2000	90.21	3.81
GCA_900115495.1	IMG-taxon 2599185265 annotated assembly	Enterovibrio norvegicus DSM 15893	1121869		DSM 15893					Annotation submitted by DOE - JOINT GENOME INSTITUTE	5449689	Scaffold	2016-11-02	FOWR01	88411	117006	99		92.02	5.88
GCF_900115495.1	IMG-taxon 2599185265 annotated assembly	Enterovibrio norvegicus DSM 15893	1121869		DSM 15893					GCF_900115495.1-RS_2024_04_24	5449689	Scaffold	2016-11-02	FOWR01	88411	117006	99		92.02	5.88
GCA_900167155.1	IMG-taxon 2568526010 annotated assembly	Enterovibrio nigricans DSM 22720	1121868		DSM 22720					Annotation submitted by DOE - JOINT GENOME INSTITUTE	5037269	Scaffold	2017-03-04	FUXU01	51454	51454	241		72.8	4.71
GCF_900167155.1	IMG-taxon 2568526010 annotated assembly	Enterovibrio nigricans DSM 22720	1121868		DSM 22720					GCF_900167155.1-RS_2024_04_25	5037269	Scaffold	2017-03-04	FUXU01	51454	51454	241		72.8	4.71
GCA_000222605.2	ASM22260v1	Vibrio ichthyoenteri ATCC 700023	870968		ATCC 700023					Annotation submitted by FDA	4641086	Contig	2011-08-04	AFWF01	45976			454 FLX Titanium	97.98	0.16
GCF_000222605.1	ASM22260v1	Vibrio ichthyoenteri ATCC 700023	870968		ATCC 700023					GCF_000222605.1-RS_2024_03_31	4641086	Contig	2011-08-04	AFWF01	45976			454 FLX Titanium	97.98	0.16
GCA_029589055.1	ASM2958905v1	Vibrio hannami	2717094		KACC 19277					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5377355	Contig	2023-04-04	JARQZP01	1999375			Oxford Nanopore MinION	89.09	3.96
GCF_029589055.1	ASM2958905v1	Vibrio hannami	2717094		KACC 19277					GCF_029589055.1-RS_2024_04_04	5377355	Contig	2023-04-04	JARQZP01	1999375			Oxford Nanopore MinION	89.09	3.96
GCA_003144035.1	ASM314403v1	Vibrio albus	2200953		E4404					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4265296	Contig	2018-05-20	QFWT01	353509			Illumina HiSeq	90.1	2.85
GCF_003144035.1	ASM314403v1	Vibrio albus	2200953		E4404					GCF_003144035.1-RS_2024_05_03	4265296	Contig	2018-05-20	QFWT01	353509			Illumina HiSeq	90.1	2.85
GCA_004120195.1	ASM412019v1	Enterovibrio baiacu	2491023		A649						5371326	Contig	2019-01-30	SCHN01	283124			Illumina MiSeq	91.81	4.85
GCF_004120195.1	ASM412019v1	Enterovibrio baiacu	2491023		A649					GCF_004120195.1-RS_2024_03_28	5371326	Contig	2019-01-30	SCHN01	283124			Illumina MiSeq	91.81	4.85
GCA_002954715.1	ASM295471v1	Aliivibrio sifiae	566293		NBRC 105001					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4743237	Scaffold	2018-02-27	MSCP01	235907	2522736	8	Illumina MiSeq	99.63	0.48
GCF_002954715.1	ASM295471v1	Aliivibrio sifiae	566293		NBRC 105001					GCF_002954715.1-RS_2024_05_03	4743237	Scaffold	2018-02-27	MSCP01	235907	2522736	8	Illumina MiSeq	99.63	0.48
GCA_000333895.2	ASM33389v2	Grimontia indica	1056512		AK16					Annotation submitted by Institute of Microbial Technology	5555590	Contig	2013-05-03	ANFM02	119617			Illumina HiSeq	99.94	0.91
GCF_000333895.2	ASM33389v2	Grimontia indica	1056512		AK16					GCF_000333895.2-RS_2024_03_28	5555590	Contig	2013-05-03	ANFM02	119617			Illumina HiSeq	99.94	0.91
GCA_003569005.1	Vsuperstes	Vibrio superstes	198815		G3-29						4718577	Scaffold	2018-08-23	BCUR01	607752	2886584	5	454 GS FLX, Illumina MiSeq	93.01	1.26
GCF_003569005.1	Vsuperstes	Vibrio superstes	198815		JCM 21480					GCF_003569005.1-RS_2024_08_12	4718577	Scaffold	2018-08-23	BCUR01	607752	2886584	5	454 GS FLX, Illumina MiSeq	93.01	1.26
GCA_030409945.1	ASM3040994v1	Vibrio tapetis subsp. quintayensis	1926258		CECT 8851					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5198666	Scaffold	2023-07-05	JAUFQV01	358735	358735	55	Illumina	98.11	1.72
GCF_030409945.1	ASM3040994v1	Vibrio tapetis subsp. quintayensis	1926258		CECT 8851					GCF_030409945.1-RS_2024_07_07	5198666	Scaffold	2023-07-05	JAUFQV01	358735	358735	55	Illumina	98.11	1.72
GCA_000426765.1	ASM42676v1	Vibrio litoralis DSM 17657	1123493		DSM 17657						3823881	Scaffold	2013-07-11	AUFZ01	344268	383666	20	Illumina HiSeq 2000	93.53	1.74
GCF_000426765.1	ASM42676v1	Vibrio litoralis DSM 17657	1123493		DSM 17657					GCF_000426765.1-RS_2024_04_26	3823881	Scaffold	2013-07-11	AUFZ01	344268	383666	20	Illumina HiSeq 2000	93.53	1.74
GCA_001591105.1	ASM159110v1	Vibrio nereis NBRC 15637	1219068		NBRC 15637						4085582	Contig	2016-02-23	BCUD01	227762			454 GS-FLX Titanium; Illumina HiSeq 1000	99.13	0.62
GCF_001591105.1	ASM159110v1	Vibrio nereis NBRC 15637	1219068		NBRC 15637					GCF_001591105.1-RS_2024_09_02	4085582	Contig	2016-02-23	BCUD01	227762			454 GS-FLX Titanium; Illumina HiSeq 1000	99.13	0.62
GCA_000467125.1	ASM46712v1	Vibrio proteolyticus NBRC 13287	1219065		NBRC 13287					Annotation submitted by National Institute of Technology and Evaluation	4745539	Contig	2013-09-13	BATJ01	227034			454 GS-FLX Titanium; Illumina HiSeq 1000	99.49	0.8
GCF_000467125.1	ASM46712v1	Vibrio proteolyticus NBRC 13287	1219065		NBRC 13287					GCF_000467125.1-RS_2024_08_08	4745539	Contig	2013-09-13	BATJ01	227034			454 GS-FLX Titanium; Illumina HiSeq 1000	99.49	0.8
GCA_003350295.1	ASM335029v1	Vibrio tetraodonis	2231647		A511						4360861	Contig	2018-07-31	QLYY01	183738			Illumina MiSeq	95.57	0.85
GCF_003350295.1	ASM335029v1	Vibrio tetraodonis	2231647		A511					GCF_003350295.1-RS_2024_03_28	4360861	Contig	2018-07-31	QLYY01	183738			Illumina MiSeq	95.57	0.85
GCA_003025515.1	ASM302551v1	Photobacterium gaetbulicola	1295392		DSM 26887					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5876222	Contig	2018-03-31	PYME01	159703			Illumina MiSeq	97.13	4.85
GCF_003025515.1	ASM302551v1	Photobacterium gaetbulicola	1295392		DSM 26887					GCF_003025515.1-RS_2024_03_28	5876222	Contig	2018-03-31	PYME01	159703			Illumina MiSeq	97.13	4.85
GCA_003568985.1	Vezurae	Vibrio ezurae	252583		HDS1-1						3713626	Scaffold	2018-08-23	BCUQ01	157552	499506	14	454 GS FLX, Illumina MiSeq	92.22	1.35
GCF_003568985.1	Vezurae	Vibrio ezurae	252583		JCM 21522					GCF_003568985.1-RS_2024_08_12	3713626	Scaffold	2018-08-23	BCUQ01	157552	499506	14	454 GS FLX, Illumina MiSeq	92.22	1.35
GCA_000189255.2	ASM18925v1	Vibrio brasiliensis LMG 20546	945543		LMG 20546					Annotation submitted by FDA	4715026	Contig	2011-02-11	AEVS01	90830			454 Titanium	99.49	0.74
GCF_000189255.1	ASM18925v1	Vibrio brasiliensis LMG 20546	945543		LMG 20546					GCF_000189255.1-RS_2024_03_31	4715026	Contig	2011-02-11	AEVS01	90830			454 Titanium	99.49	0.74
GCA_028204155.1	ASM2820415v1	Vibrio algarum	3020714		KJ40-1					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4891669	Contig	2023-01-29	JAQLOI01	3253011			Oxford Nanopore MinION	86.55	4.29
GCF_028204155.1	ASM2820415v1	Vibrio algarum	3020714		KJ40-1					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4891669	Contig	2023-01-29	JAQLOI01	3253011			Oxford Nanopore MinION	86.55	4.29
GCA_033542615.1	ASM3354261v1	Vibrio plantisponsor	664643		MSSRF60					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4503713	Contig	2023-11-11	JAWRCN01	3183634			Illumina HiSeq; Oxford Nanopore	98.86	1.98
GCF_033542615.1	ASM3354261v1	Vibrio plantisponsor	664643		MSSRF60					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4503713	Contig	2023-11-11	JAWRCN01	3183634			Illumina HiSeq; Oxford Nanopore	98.86	1.98
GCA_015686695.1	ASM1568669v1	Vibrio nitrifigilis	2789781		NFV-1					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5484941	Contig	2020-11-24	JADPMR01	3086989			PacBio	95.91	5.83
GCF_015686695.1	ASM1568669v1	Vibrio nitrifigilis	2789781		NFV-1					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5484941	Contig	2020-11-24	JADPMR01	3086989			PacBio	95.91	5.83
GCA_921293875.1	V_stylophorae_CECT7929	Vibrio stylophorae	659351		CECT 7929			KTW-12		Annotation submitted by University of Valencia, Spain	3495615	Contig	2022-01-30	CAKLDI01	2875824				88.81	1.34
GCF_921293875.1	V_stylophorae_CECT7929	Vibrio stylophorae	659351		CECT 7929			KTW-12		GCF_921293875.1-RS_2024_07_08	3495615	Contig	2022-01-30	CAKLDI01	2875824				88.81	1.34
GCA_921292975.1	V_hippocampi_CECT8226	Vibrio hippocampi	654686		CECT 8226			BFLP-4		Annotation submitted by University of Valencia, Spain	4592494	Contig	2022-01-30	CAKLCM01	2415900				97.25	2.99
GCF_921292975.1	V_hippocampi_CECT8226	Vibrio hippocampi	654686		CECT 8226			BFLP-4		GCF_921292975.1-RS_2024_07_08	4592494	Contig	2022-01-30	CAKLCM01	2415900				97.25	2.99
GCA_900055185.1	Grimontia_sp_CECT9029_SPAdes_Prokka	Grimontia celer	1796497		CECT 9029					Annotation submitted by UVEG	5607486	Contig	2016-03-04	FIZX01	1845124				99.3	1.89
GCF_900055185.1	Grimontia_sp_CECT9029_SPAdes_Prokka	Grimontia celer	1796497		CECT 9029					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5607486	Contig	2016-03-04	FIZX01	1845124				99.3	1.89
GCA_003614885.1	ASM361488v1	Photobacterium salinisoli	1616783		LAM9072						4736655	Contig	2018-10-05	QZMS01	1427710			Illumina	89.61	3.42
GCF_003614885.1	ASM361488v1	Photobacterium salinisoli	1616783		LAM9072					GCF_003614885.1-RS_2024_03_28	4736655	Contig	2018-10-05	QZMS01	1427710			Illumina	89.61	3.42
GCA_003025495.1	ASM302549v1	Photobacterium jeanii	858640		DSM 100339					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5060288	Contig	2018-03-31	PYMD01	1220094			Illumina MiSeq	96.11	3.02
GCF_003025495.1	ASM302549v1	Photobacterium jeanii	858640		DSM 100339					GCF_003025495.1-RS_2024_03_14	5060288	Contig	2018-03-31	PYMD01	1220094			Illumina MiSeq	96.11	3.02
GCA_021272385.1	ASM2127238v1	Vibrio salinus	2899784		DNF-1					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4461573	Contig	2021-12-22	JAJSDZ01	1209233			PacBio	89.18	6.19
GCF_021272385.1	ASM2127238v1	Vibrio salinus	2899784		DNF-1					GCF_021272385.1-RS_2024_08_31	4461573	Contig	2021-12-22	JAJSDZ01	1209233			PacBio	89.18	6.19
GCA_030161215.1	ASM3016121v1	Vibrio algivorus	1667024		NBRC 111146					Annotation submitted by WFCC-MIRCEN World Data Centre for Microorganisms (WDCM)	3606428	Contig	2023-02-15	BSPV01	562727			Illumina	94.09	1.75
GCF_030161215.1	ASM3016121v1	Vibrio algivorus	1667024		NBRC 111146					GCF_030161215.1-RS_2024_06_02	3606428	Contig	2023-02-15	BSPV01	562727			Illumina	94.09	1.75
GCA_900166965.1	P.piscicola_NCCB100098T_SPAdes_Prokka_EMBL	Photobacterium piscicola	1378299		type strain: NCCB 100098					Annotation submitted by UVEG	4525300	Scaffold	2017-03-17	FUZI01	553764	553764	65		96.57	1.61
GCF_900166965.1	P.piscicola_NCCB100098T_SPAdes_Prokka_EMBL	Photobacterium piscicola	1378299		NCCB 100098T					GCF_900166965.1-RS_2024_08_20	4525300	Scaffold	2017-03-17	FUZI01	553764	553764	65		96.57	1.61
GCA_000827885.1	ASM82788v1	Vibrio renipiscarius	1461322		DCR 1-4-2					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4339718	Scaffold	2015-01-23	JTKH01	515942	515942	30	Illumina MiSeq	98.79	0.69
GCF_000827885.1	ASM82788v1	Vibrio renipiscarius	1461322		DCR 1-4-2					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4339718	Scaffold	2015-01-23	JTKH01	515942	515942	30	Illumina MiSeq	98.79	0.69
GCA_009811315.1	ASM981131v1	Vibrio atypicus	558271		DSM 25292						4835723	Scaffold	2019-12-06	BLID01	494603	494603	66	Illumina MiSeq	99.74	0.92
GCF_009811315.1	ASM981131v1	Vibrio atypicus	558271		DSM 25292					GCF_009811315.1-RS_2024_08_26	4835723	Scaffold	2019-12-06	BLID01	494603	494603	66	Illumina MiSeq	99.74	0.92
GCA_005281835.1	ASM528183v1	Vibrio profundi	1774960		TP187						5189300	Scaffold	2019-05-13	RZIS01	488354	488354	25	Illumina HiSeq	99.78	0.88
GCF_005281835.1	ASM528183v1	Vibrio profundi	1774960		TP187					GCF_005281835.1-RS_2024_04_22	5189300	Scaffold	2019-05-13	RZIS01	488354	488354	25	Illumina HiSeq	99.78	0.88
GCA_004104355.1	ASM410435v1	Photobacterium chitinilyticum	2485123		BEI247					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5923999	Contig	2019-01-17	RJLM01	473535			Illumina HiSeq	96.18	6.59
GCF_004104355.1	ASM410435v1	Photobacterium chitinilyticum	2485123		BEI247					GCF_004104355.1-RS_2024_08_05	5923999	Contig	2019-01-17	RJLM01	473535			Illumina HiSeq	96.18	6.59
GCA_016900875.1	ASM1690087v1	Vibrio ulleungensis	2807619		188UL20-2					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4380046	Scaffold	2021-02-16	JAFEUM01	448823	494057	25	Illumina	94.28	1.8
GCF_016900875.1	ASM1690087v1	Vibrio ulleungensis	2807619		188UL20-2					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4380046	Scaffold	2021-02-16	JAFEUM01	448823	494057	25	Illumina	94.28	1.8
GCA_900185625.1	P.andalusiensis_CECT9192T_SPAdes_Prokka_EMBL	Photobacterium andalusiense	2204296		CECT 9192					Annotation submitted by UVEG	4455676	Scaffold	2017-06-06	FYAJ01	442834	442834	68		97.55	1.15
GCF_900185625.1	P.andalusiensis_CECT9192T_SPAdes_Prokka_EMBL	Photobacterium andalusiense	2204296		CECT 9192T					GCF_900185625.1-RS_2024_08_20	4455676	Scaffold	2017-06-06	FYAJ01	442834	442834	68		97.55	1.15
GCA_900185615.1	P.malacitana_CECT9190T_SPAdes_Prokka_EMBL	Photobacterium malacitanum	2204294		CECT 9190					Annotation submitted by UVEG	4380538	Scaffold	2017-06-06	FYAK01	433037	433037	55		97.25	0.92
GCF_900185615.1	P.malacitana_CECT9190T_SPAdes_Prokka_EMBL	Photobacterium malacitanum	2204294		CECT 9190T					GCF_900185615.1-RS_2024_08_20	4380538	Scaffold	2017-06-06	FYAK01	433037	433037	55		97.25	0.92
GCA_003026395.1	ASM302639v1	Photobacterium iliopiscarium	56192		ATCC 51760					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4308695	Contig	2018-03-31	PYOO01	388872			Illumina MiSeq	96.37	1.09
GCF_003026395.1	ASM302639v1	Photobacterium iliopiscarium	56192		ATCC 51760					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4308695	Contig	2018-03-31	PYOO01	388872			Illumina MiSeq	96.37	1.09
GCA_003026215.1	ASM302621v1	Photobacterium indicum	81447		ATCC 19614					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5905913	Contig	2018-03-31	PYOC01	373266			Illumina MiSeq	99.02	1.53
GCF_003026215.1	ASM302621v1	Photobacterium indicum	81447		ATCC 19614					GCF_003026215.1-RS_2024_05_03	5905913	Contig	2018-03-31	PYOC01	373266			Illumina MiSeq	99.02	1.53
GCA_003415655.1	ASM341565v1	Vibrio maerlii	2231648		G62						4758008	Contig	2018-08-22	QRHC01	369373			Illumina MiSeq	98.95	1.92
GCF_003415655.1	ASM341565v1	Vibrio maerlii	2231648		G62					GCF_003415655.1-RS_2024_03_29	4758008	Contig	2018-08-22	QRHC01	369373			Illumina MiSeq	98.95	1.92
GCA_021852965.1	ASM2185296v1	Vibrio floridensis	2908007		IRLE0018					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4535135	Contig	2022-02-01	JAKGCY01	367296			Illumina iSeq	100	0.22
GCF_021852965.1	ASM2185296v1	Vibrio floridensis	2908007		IRLE0018					GCF_021852965.1-RS_2024_03_15	4535135	Contig	2022-02-01	JAKGCY01	367296			Illumina iSeq	100	0.22
GCA_003970385.1	ASM397038v1	Vibrio aquaticus	2496559		BEI207					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4451605	Contig	2018-12-24	RXZH01	361544			Illumina	99.55	0.47
GCF_003970385.1	ASM397038v1	Vibrio aquaticus	2496559		BEI207					GCF_003970385.1-RS_2024_08_07	4451605	Contig	2018-12-24	RXZH01	361544			Illumina	99.55	0.47
GCA_023145695.1	ASM2314569v1	Vibrio amylolyticus	2847292		ZSDE26					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4861024	Contig	2022-04-27	JAJHVV01	358791			Illumina	99.58	1.19
GCF_023145695.1	ASM2314569v1	Vibrio amylolyticus	2847292		ZSDE26					GCF_023145695.1-RS_2024_05_13	4861024	Contig	2022-04-27	JAJHVV01	358791			Illumina	99.58	1.19
GCA_003856525.1	ASM385652v1	Vibrio viridaestus	2487322		LJC006					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4713072	Contig	2018-12-03	RJVQ01	355290			Illumina	92.71	4.65
GCF_003856525.1	ASM385652v1	Vibrio viridaestus	2487322		LJC006					GCF_003856525.1-RS_2024_08_07	4713072	Contig	2018-12-03	RJVQ01	355290			Illumina	92.71	4.65
GCA_003025555.1	ASM302555v1	Photobacterium lutimaris	388278		JCM 13586					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5967087	Contig	2018-03-31	PYMH01	330217			Illumina MiSeq	97.15	4.2
GCF_003025555.1	ASM302555v1	Photobacterium lutimaris	388278		JCM 13586					GCF_003025555.1-RS_2024_04_27	5967087	Contig	2018-03-31	PYMH01	330217			Illumina MiSeq	97.15	4.2
GCA_001274785.1	ASM127478v1	Vibrio hepatarius	171383		DSM 19134					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4822708	Contig	2015-08-26	LHPI01	292816			Illumina MiSeq	99.91	1.54
GCF_001274785.1	ASM127478v1	Vibrio hepatarius	171383		DSM 19134					GCF_001274785.1-RS_2024_05_02	4822708	Contig	2015-08-26	LHPI01	292816			Illumina MiSeq	99.91	1.54
GCA_023634655.1	ASM2363465v1	Vibrio methylphosphonaticus	2946866		S4B1					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5212532	Contig	2022-06-01	JAMKMS01	250504			Illumina	99.02	1.53
GCF_023634655.1	ASM2363465v1	Vibrio methylphosphonaticus	2946866		S4B1					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5212532	Contig	2022-06-01	JAMKMS01	250504			Illumina	99.02	1.53
GCA_003026495.1	ASM302649v1	Photobacterium sanctipauli	1342794		DSM 100436					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5840212	Contig	2018-03-31	PYMA01	247340			Illumina MiSeq	94.27	3.45
GCF_003026495.1	ASM302649v1	Photobacterium sanctipauli	1342794		DSM 100436					GCF_003026495.1-RS_2024_05_03	5840212	Contig	2018-03-31	PYMA01	247340			Illumina MiSeq	94.27	3.45
GCA_000711795.1	ASM71179v1	Vibrio pacinii DSM 19139	1123494		DSM 19139						4304676	Scaffold	2014-06-25	JONH01	243217	292855	53	Illumina HiSeq 2000	99.88	0.31
